cod_universidad,des_universidad,anio,des_capitulo,des_articulo,des_concepto,des_subconcepto,des_partida,des_seccion,des_servicio,des_unidad_de_coste,des_organica_libre_1,des_organica_libre_2,des_grupo,des_funcion,des_subfuncion,des_programa,des_subprograma,fecha_referencia,credito_inicial,modificaciones,credito_total,gastos_comprometidos,obligaciones_reconocidas,pagos_netos
036,Universidad-Carlos-III-de-Madrid,2022,GASTOS-EN-BIENES-C-Y-SERV,MATERIAL-SUMINISTROS-Y-OTROS,MATERIAL-DE-OFICINA,REPROGRAFIA,no-informado,Universidad-Carlos-III-de-Madrid,Centros-actividad-intercampus,no-informado,no-informado,no-informado,no-informado,no-informado,DIRECCION-Y-GESTION,OBJETIVOS-GENERALES,no-informado,2021-12-31T00:00Z,1000,0,1000,0,0,0
036,Universidad-Carlos-III-de-Madrid,2022,GASTOS-EN-BIENES-C-Y-SERV,MATERIAL-SUMINISTROS-Y-OTROS,GASTOS-DIVERSOS,REUNIONES-Y-CONFERENCIAS,no-informado,Universidad-Carlos-III-de-Madrid,Centros-actividad-intercampus,no-informado,no-informado,no-informado,no-informado,no-informado,DIRECCION-Y-GESTION,OBJETIVOS-GENERALES,no-informado,2021-12-31T00:00Z,20000,0,20000,0,0,0
036,Universidad-Carlos-III-de-Madrid,2022,GASTOS-EN-BIENES-C-Y-SERV,MATERIAL-SUMINISTROS-Y-OTROS,GASTOS-DIVERSOS,REUNIONES-Y-CONFERENCIAS,no-informado,Universidad-Carlos-III-de-Madrid,Centros-actividad-intercampus,no-informado,no-informado,no-informado,no-informado,no-informado,DIRECCION-Y-GESTION,OBJETIVOS-GENERALES,no-informado,2021-12-31T00:00Z,3000,0,3000,0,0,0
036,Universidad-Carlos-III-de-Madrid,2022,GASTOS-DE-PERSONAL,FUNCIONARIOS,RETRIBUCIONES-BASICAS,RETRIBUCIONES-BASICAS-FUNCIONARIOS-GRUPO-A1,no-informado,Universidad-Carlos-III-de-Madrid,Centros-actividad-intercampus,no-informado,no-informado,no-informado,no-informado,no-informado,DIRECCION-Y-GESTION,GERENCIA-Y-SERVICIOS,no-informado,2021-12-31T00:00Z,862070,0,862070,0,0,0
036,Universidad-Carlos-III-de-Madrid,2022,GASTOS-DE-PERSONAL,FUNCIONARIOS,RETRIBUCIONES-BASICAS,RETRIBUCIONES-BASICAS-FUNCIONARIOS-GRUPO-A2,no-informado,Universidad-Carlos-III-de-Madrid,Centros-actividad-intercampus,no-informado,no-informado,no-informado,no-informado,no-informado,DIRECCION-Y-GESTION,GERENCIA-Y-SERVICIOS,no-informado,2021-12-31T00:00Z,3076662,0,3076662,0,0,0
036,Universidad-Carlos-III-de-Madrid,2022,GASTOS-DE-PERSONAL,FUNCIONARIOS,RETRIBUCIONES-BASICAS,RETRIBUCIONES-BASICAS-FUNCIONARIOS-GRUPO-C1,no-informado,Universidad-Carlos-III-de-Madrid,Centros-actividad-intercampus,no-informado,no-informado,no-informado,no-informado,no-informado,DIRECCION-Y-GESTION,GERENCIA-Y-SERVICIOS,no-informado,2021-12-31T00:00Z,2138500,0,2138500,0,0,0
036,Universidad-Carlos-III-de-Madrid,2022,GASTOS-DE-PERSONAL,FUNCIONARIOS,RETRIBUCIONES-BASICAS,RETRIBUCIONES-BASICAS-FUNCIONARIOS-GRUPO-C2,no-informado,Universidad-Carlos-III-de-Madrid,Centros-actividad-intercampus,no-informado,no-informado,no-informado,no-informado,no-informado,DIRECCION-Y-GESTION,GERENCIA-Y-SERVICIOS,no-informado,2021-12-31T00:00Z,1589877.5,0,1589877.5,0,0,0
036,Universidad-Carlos-III-de-Madrid,2022,GASTOS-DE-PERSONAL,FUNCIONARIOS,RETRIBUCIONES-BASICAS,TRIENIOS-DE-FUNCIONARIOS,no-informado,Universidad-Carlos-III-de-Madrid,Centros-actividad-intercampus,no-informado,no-informado,no-informado,no-informado,no-informado,DIRECCION-Y-GESTION,GERENCIA-Y-SERVICIOS,no-informado,2021-12-31T00:00Z,1196000,0,1196000,0,0,0
036,Universidad-Carlos-III-de-Madrid,2022,GASTOS-DE-PERSONAL,FUNCIONARIOS,RETRIBUCIONES-COMPLEMENTARIAS-DE-FUNCIONARIOS,COMPLEMENTO-DE-DESTINO,no-informado,Universidad-Carlos-III-de-Madrid,Centros-actividad-intercampus,no-informado,no-informado,no-informado,no-informado,no-informado,DIRECCION-Y-GESTION,GERENCIA-Y-SERVICIOS,no-informado,2021-12-31T00:00Z,4016504.5,0,4016504.5,0,0,0
036,Universidad-Carlos-III-de-Madrid,2022,GASTOS-DE-PERSONAL,FUNCIONARIOS,RETRIBUCIONES-COMPLEMENTARIAS-DE-FUNCIONARIOS,COMPLEMENTOS-ESPECIFICOS,no-informado,Universidad-Carlos-III-de-Madrid,Centros-actividad-intercampus,no-informado,no-informado,no-informado,no-informado,no-informado,DIRECCION-Y-GESTION,GERENCIA-Y-SERVICIOS,no-informado,2021-12-31T00:00Z,6618862.5,0,6618862.5,0,0,0
036,Universidad-Carlos-III-de-Madrid,2022,GASTOS-DE-PERSONAL,LABORALES,RELACION-LABORAL-PUESTOS-DE-TRABAJO,RETRIBUCIONES-BASICAS-PERSONAL-LABORAL-FIJO,no-informado,Universidad-Carlos-III-de-Madrid,Centros-actividad-intercampus,no-informado,no-informado,no-informado,no-informado,no-informado,DIRECCION-Y-GESTION,GERENCIA-Y-SERVICIOS,no-informado,2021-12-31T00:00Z,2577514,0,2577514,0,0,0
