cod_universidad,des_universidad,anio,des_capitulo,des_articulo,des_concepto,des_subconcepto,des_partida,des_seccion,des_servicio,des_unidad_de_coste,des_organica_libre_1,des_organica_libre_2,des_grupo,des_funcion,des_subfuncion,des_programa,des_subprograma,fecha_referencia,credito_inicial,modificaciones,credito_total,gastos_comprometidos,obligaciones_reconocidas,pagos_netos
010,Universidad-Complutense-de-Madrid,2022,GASTOS-DE-PERSONAL,PERSONAL-FUNCIONARIO,RETRIBUCIONES-BASICAS,RETRIBUCIONES-BASICAS-PDI-FUNCIONARIO,Retribuciones-Basicas-PDI-Funcionario,VR-ORD-ACADEMICA,SV-NOM-Y-SS-PDI,no-informado,no-informado,no-informado,Desarrollo-de-la-Docencia-y-de-la-Investigacion,Desarrollo-de-la-Docencia-y-de-la-Investigacion,DESARROLLO-DE-LA-DOCENCIA-Y-DE-LA-INVESTIGACION,DESARROLLO-DE-LA-DOCENCIA-Y-DE-LA-INVESTIGACION,no-informado,2022-01-01T00:00Z,3.458980413E7,0,3.458980413E7,0,0,0
010,Universidad-Complutense-de-Madrid,2022,GASTOS-DE-PERSONAL,PERSONAL-FUNCIONARIO,RETRIBUCIONES-BASICAS,TRIENIOS-PDI-FUNCIONARIO,Trienios-PDI-Funcionario,VR-ORD-ACADEMICA,SV-NOM-Y-SS-PDI,no-informado,no-informado,no-informado,Desarrollo-de-la-Docencia-y-de-la-Investigacion,Desarrollo-de-la-Docencia-y-de-la-Investigacion,DESARROLLO-DE-LA-DOCENCIA-Y-DE-LA-INVESTIGACION,DESARROLLO-DE-LA-DOCENCIA-Y-DE-LA-INVESTIGACION,no-informado,2022-01-01T00:00Z,1.18939005E7,0,1.18939005E7,0,0,0
010,Universidad-Complutense-de-Madrid,2022,GASTOS-DE-PERSONAL,PERSONAL-FUNCIONARIO,RETRIBUCIONES-BASICAS,PAGAS-EXTRAORDINARIAS-PDI-FUNCIONARIO,Pagas-Extraordinarias-PDI-Funcionario,VR-ORD-ACADEMICA,SV-NOM-Y-SS-PDI,no-informado,no-informado,no-informado,Desarrollo-de-la-Docencia-y-de-la-Investigacion,Desarrollo-de-la-Docencia-y-de-la-Investigacion,DESARROLLO-DE-LA-DOCENCIA-Y-DE-LA-INVESTIGACION,DESARROLLO-DE-LA-DOCENCIA-Y-DE-LA-INVESTIGACION,no-informado,2022-01-01T00:00Z,9397875.97,0,9397875.97,0,0,0
010,Universidad-Complutense-de-Madrid,2022,GASTOS-DE-PERSONAL,PERSONAL-FUNCIONARIO,RETRIBUCIONES-COMPLEMENTARIAS,RETRIBUCIONES-COMPLEMENTARIAS-PDI-FUNCIONARIO,Retribuciones-Complementarias-PDI-Funcionario,VR-ORD-ACADEMICA,SV-NOM-Y-SS-PDI,no-informado,no-informado,no-informado,Desarrollo-de-la-Docencia-y-de-la-Investigacion,Desarrollo-de-la-Docencia-y-de-la-Investigacion,DESARROLLO-DE-LA-DOCENCIA-Y-DE-LA-INVESTIGACION,DESARROLLO-DE-LA-DOCENCIA-Y-DE-LA-INVESTIGACION,no-informado,2022-01-01T00:00Z,4.957877965E7,0,4.957877965E7,0,0,0
010,Universidad-Complutense-de-Madrid,2022,GASTOS-DE-PERSONAL,PERSONAL-FUNCIONARIO,RETRIBUCIONES-COMPLEMENTARIAS,CARGOS-ACADEMICOS-PDI-FUNCIONARIO,Cargos-Academicos-PDI-Funcionario,VR-ORD-ACADEMICA,SV-NOM-Y-SS-PDI,no-informado,no-informado,no-informado,Desarrollo-de-la-Docencia-y-de-la-Investigacion,Desarrollo-de-la-Docencia-y-de-la-Investigacion,DESARROLLO-DE-LA-DOCENCIA-Y-DE-LA-INVESTIGACION,DESARROLLO-DE-LA-DOCENCIA-Y-DE-LA-INVESTIGACION,no-informado,2022-01-01T00:00Z,1767419.09,0,1767419.09,0,0,0
010,Universidad-Complutense-de-Madrid,2022,GASTOS-DE-PERSONAL,PERSONAL-FUNCIONARIO,RETRIBUCIONES-COMPLEMENTARIAS,EVALUACION-ACTIVIDAD-DOCENTE-PDI-FUNCIONARIO,Evaluacion-Actividad-Docente-PDI-Funcionario,VR-ORD-ACADEMICA,SV-NOM-Y-SS-PDI,no-informado,no-informado,no-informado,Desarrollo-de-la-Docencia-y-de-la-Investigacion,Desarrollo-de-la-Docencia-y-de-la-Investigacion,DESARROLLO-DE-LA-DOCENCIA-Y-DE-LA-INVESTIGACION,DESARROLLO-DE-LA-DOCENCIA-Y-DE-LA-INVESTIGACION,no-informado,2022-01-01T00:00Z,1.652794477E7,0,1.652794477E7,0,0,0
010,Universidad-Complutense-de-Madrid,2022,GASTOS-DE-PERSONAL,PERSONAL-FUNCIONARIO,RETRIBUCIONES-COMPLEMENTARIAS,EVALUACION-ACTIVIDAD-INVESTIGADORA-PDI-FUNCIONARIO,Evaluacion-Actividad-Investigadora-PDI-Funcionario,VR-ORD-ACADEMICA,SV-NOM-Y-SS-PDI,no-informado,no-informado,no-informado,Desarrollo-de-la-Docencia-y-de-la-Investigacion,Desarrollo-de-la-Docencia-y-de-la-Investigacion,DESARROLLO-DE-LA-DOCENCIA-Y-DE-LA-INVESTIGACION,DESARROLLO-DE-LA-DOCENCIA-Y-DE-LA-INVESTIGACION,no-informado,2022-01-01T00:00Z,11031740,0,11031740,0,0,0
010,Universidad-Complutense-de-Madrid,2022,GASTOS-DE-PERSONAL,PERSONAL-FUNCIONARIO,RETRIBUCIONES-COMPLEMENTARIAS,COMPLEMENTO-DOCENTE-PDI-FUNCIONARIO,Complemento-Docente-PDI-Funcionario,VR-ORD-ACADEMICA,SV-NOM-Y-SS-PDI,no-informado,no-informado,no-informado,Desarrollo-de-la-Docencia-y-de-la-Investigacion,Desarrollo-de-la-Docencia-y-de-la-Investigacion,DESARROLLO-DE-LA-DOCENCIA-Y-DE-LA-INVESTIGACION,DESARROLLO-DE-LA-DOCENCIA-Y-DE-LA-INVESTIGACION,no-informado,2022-01-01T00:00Z,8673042.44,0,8673042.44,0,0,0
010,Universidad-Complutense-de-Madrid,2022,GASTOS-DE-PERSONAL,PERSONAL-FUNCIONARIO,ASIGNACION-POR-DESTINO-EN-EL-EXTRANJERO,ASIGNACION-POR-DESTINO-EN-EL-EXTRANJERO,Asigancion-por-Destino-en-el-Extranjero,VR-ORD-ACADEMICA,SV-NOM-Y-SS-PDI,no-informado,no-informado,no-informado,Desarrollo-de-la-Docencia-y-de-la-Investigacion,Desarrollo-de-la-Docencia-y-de-la-Investigacion,DESARROLLO-DE-LA-DOCENCIA-Y-DE-LA-INVESTIGACION,DESARROLLO-DE-LA-DOCENCIA-Y-DE-LA-INVESTIGACION,no-informado,2022-01-01T00:00Z,31617.02,0,31617.02,0,0,0
010,Universidad-Complutense-de-Madrid,2022,GASTOS-DE-PERSONAL,PERSONAL-LABORAL,PERSONAL-LABORAL-FIJO,RETRIBUCIONES-BASICAS-PDI-LABORAL-FIJO,Retribuciones-Basicas-PDI-Laboral-Fijo,VR-ORD-ACADEMICA,SV-NOM-Y-SS-PDI,no-informado,no-informado,no-informado,Desarrollo-de-la-Docencia-y-de-la-Investigacion,Desarrollo-de-la-Docencia-y-de-la-Investigacion,DESARROLLO-DE-LA-DOCENCIA-Y-DE-LA-INVESTIGACION,DESARROLLO-DE-LA-DOCENCIA-Y-DE-LA-INVESTIGACION,no-informado,2022-01-01T00:00Z,2.351484747E7,0,2.351484747E7,0,0,0
