cod_universidad,des_universidad,anio,des_capitulo,des_articulo,des_concepto,des_subconcepto,des_partida,des_seccion,des_servicio,des_unidad_de_coste,des_organica_libre_1,des_organica_libre_2,fecha_referencia,credito_inicial,modificaciones,credito_total,derechos_reconocidos_netos,recaudacion_neta
010,Universidad-Complutense-de-Madrid,2022,TASAS-PRECIOS-PUBLICOS-Y-OTROS-INGRESOS,REINTEGROS-DE-OPERACIONES-CORRIENTES,REINTEGROS-DE-EJERCICIOS-CERRADOS,REINTEGROS-DE-EJERCICIOS-CERRADOS,Reintegros-de-Ejercicios-Cerrados,VR.PT.ECON-GERENCIA,no-informado,no-informado,no-informado,no-informado,2022-01-01T00:00Z,0,0,0,0,0
010,Universidad-Complutense-de-Madrid,2022,TRANSFERENCIAS-CORRIENTES,DE-COMUNIDADES-AUTONOMAS,DE-LA-COMUNIDAD-DE-MADRID,CONSEJERIA-EDUCACION-ASIGNACION-NOMINATIVA,Consejeria-Educacion-Asignacion-Nominativa,VR.PT.ECON-GERENCIA,no-informado,no-informado,no-informado,no-informado,2022-01-01T00:00Z,352279964,0,352279964,0,0
010,Universidad-Complutense-de-Madrid,2022,ACTIVOS-FINANCIEROS,REINTEGROS-PRESTAMOS-CONCEDIDOS-FUERA-SEC-PUBLICO,PRESTAMOS-A-CORTO-PLAZO,DE-ANTICIPOS-AL-PERSONAL,De-Anticipos-al-Personal,VR.PT.ECON-GERENCIA,no-informado,no-informado,no-informado,no-informado,2022-01-01T00:00Z,0,0,0,0,0
010,Universidad-Complutense-de-Madrid,2022,ACTIVOS-FINANCIEROS,REINTEGROS-PRESTAMOS-CONCEDIDOS-FUERA-SEC-PUBLICO,PRESTAMOS-A-LARGO-PLAZO,DE-PRESTAMOS-AL-PERSONAL,De-Prestamos-al-Personal,VR.PT.ECON-GERENCIA,no-informado,no-informado,no-informado,no-informado,2022-01-01T00:00Z,0,0,0,0,0
010,Universidad-Complutense-de-Madrid,2022,TASAS-PRECIOS-PUBLICOS-Y-OTROS-INGRESOS,OTROS-INGRESOS-PROCEDENTES-DE-PRESTACION-SERVICIOS,OTROS-INGRESOS-POR-PRESTACION-DE-SERVICIOS,OTROS-INGRESOS-POR-PRESTACION-DE-SERVICIIOS,Otros-Ingresos-por-Prestacion-de-Serviciios,VR-INVESTIGACION-Y-T,no-informado,no-informado,no-informado,no-informado,2022-01-01T00:00Z,750000,0,750000,0,0
010,Universidad-Complutense-de-Madrid,2022,TASAS-PRECIOS-PUBLICOS-Y-OTROS-INGRESOS,REINTEGROS-DE-OPERACIONES-CORRIENTES,REINTEGROS-DE-EJERCICIOS-CERRADOS,REINTEGROS-DE-EJERCICIOS-CERRADOS,Reintegros-de-Ejercicios-Cerrados,VR-INVESTIGACION-Y-T,no-informado,no-informado,no-informado,no-informado,2022-01-01T00:00Z,500000,0,500000,0,0
010,Universidad-Complutense-de-Madrid,2022,TASAS-PRECIOS-PUBLICOS-Y-OTROS-INGRESOS,OTROS-INGRESOS,INGRESOS-DIVERSOS,PORCENTAJE-RETENCION-ART-83-LOU,Porcentaje-Retencion-Art-83-LOU,VR-INVESTIGACION-Y-T,no-informado,no-informado,no-informado,no-informado,2022-01-01T00:00Z,500000,0,500000,0,0
010,Universidad-Complutense-de-Madrid,2022,TASAS-PRECIOS-PUBLICOS-Y-OTROS-INGRESOS,OTROS-INGRESOS,INGRESOS-DIVERSOS,OTROS-INGRESOS-DIVERSOS,Otros-Ingresos-Diversos,VR-INVESTIGACION-Y-T,no-informado,no-informado,no-informado,no-informado,2022-01-01T00:00Z,350000,0,350000,0,0
010,Universidad-Complutense-de-Madrid,2022,TRANSFERENCIAS-DE-CAPITAL,DE-LA-ADMINISTRACION-DEL-ESTADO,DEL-MINIS-DE-ASUNT-ECONOMICOS-Y-TRANSFORM-DIGITAL,OTRAS-TRANSFERENCIAS-M-AS-ECONOM-Y-TR-DIGITAL,Otras-Transferencias-M-As-Econom-y-Tr-Digital,VR-INVESTIGACION-Y-T,no-informado,no-informado,no-informado,no-informado,2022-01-01T00:00Z,337200,0,337200,0,0
010,Universidad-Complutense-de-Madrid,2022,TRANSFERENCIAS-DE-CAPITAL,DE-EMPRESAS-PRIVADAS,DE-EMPRESAS-PRIVADAS,CONTRATOS-Y-PROGRAMAS-OTRI,Contratos-y-Programas-OTRI,VR-INVESTIGACION-Y-T,no-informado,no-informado,no-informado,no-informado,2022-01-01T00:00Z,100000,0,100000,0,0
010,Universidad-Complutense-de-Madrid,2022,TRANSFERENCIAS-DE-CAPITAL,DE-FAMILIAS-E-INSTITUCIONES-SIN-FINES-DE-LUCRO,DE-FAMILIAS-E-INSTITUCIONES-SIN-FINES-DE-LUCRO,CONTRATOS-Y-PROGRAMAS-OTRI,Contratos-y-Programas-OTRI,VR-INVESTIGACION-Y-T,no-informado,no-informado,no-informado,no-informado,2022-01-01T00:00Z,100000,0,100000,0,0
